stock,date,open,high,low,close,volume
AAPL,21/2/2014,69.9727,70.2061,68.8967,68.9821,69757247
AAPL,24/2/2014,68.7063,69.5954,68.6104,69.2841,72364950
AAPL,25/2/2014,69.5245,69.5488,68.4239,68.5631,58247350
AAPL,26/2/2014,68.7667,68.9492,67.7147,67.9446,69131286
AAPL,27/2/2014,67.917,69.4457,67.7738,69.2999,75557321
AAPL,28/2/2014,69.4851,69.9671,68.571,69.1121,93074653
AAPL,3/3/2014,68.7417,69.6913,68.6616,69.3117,59667923
AAPL,4/3/2014,69.7372,69.9526,69.313,69.7688,64884834
AAPL,5/3/2014,69.7267,70.2297,69.4916,69.9158,50065519
AAPL,6/3/2014,69.9723,70.189,69.3564,69.7044,46423111
AAPL,7/3/2014,69.7491,69.8659,69.0871,69.6637,55415241
AAPL,10/3/2014,69.3905,70.0432,69.3878,69.7267,44691430
AAPL,11/3/2014,70.3217,70.7537,69.946,70.4057,70198849
AAPL,12/3/2014,70.1982,70.5712,69.8686,70.474,50195460
AAPL,13/3/2014,70.583,70.8746,69.4956,69.6913,64435609
AAPL,14/3/2014,69.447,69.7228,68.6866,68.9085,59299492
AAPL,17/3/2014,69.3038,69.602,69.0609,69.1778,49886074
AAPL,18/3/2014,69.0674,69.8646,68.9755,69.7898,52411863
AAPL,19/3/2014,69.9027,70.4254,69.4746,69.7714,56188958
AAPL,20/3/2014,69.5915,69.9566,69.2579,69.4352,52099537
AAPL,21/3/2014,69.8594,70.0984,69.1239,69.9828,93612169
AAPL,24/3/2014,70.7117,70.9849,70.2704,70.8128,88924871
AAPL,25/3/2014,71.1162,71.6744,70.8654,71.5746,70573356
AAPL,26/3/2014,71.7755,72.1012,70.7695,70.8903,74942224
AAPL,27/3/2014,70.9212,71.1162,70.2783,70.5856,55507676
AAPL,28/3/2014,70.6986,70.78,70.1641,70.5068,50141063
AAPL,31/3/2014,70.8181,71.0256,70.3847,70.4911,42167188
AAPL,1/4/2014,70.625,71.1648,70.495,71.1359,50189685
AAPL,2/4/2014,71.2318,71.3763,70.9534,71.2541,44792195
AAPL,3/4/2014,71.1018,71.2475,70.6093,70.7603,40648111
AAPL,4/4/2014,70.8943,70.9192,69.6821,69.8449,68812485
AAPL,7/4/2014,69.3459,69.7241,68.5408,68.7483,72462530
AAPL,8/4/2014,68.9742,69.0963,68.1219,68.7444,60971883
AAPL,9/4/2014,68.6393,69.6703,68.5579,69.6479,51542722
AAPL,10/4/2014,69.6952,69.9001,68.7089,68.7496,59912818
AAPL,11/4/2014,68.1612,68.6642,67.917,68.2414,67975012
AAPL,14/4/2014,68.5421,68.5763,67.9262,68.5132,51445177
AAPL,15/4/2014,68.328,68.508,67.1539,68.0247,66622577
AAPL,16/4/2014,68.0365,68.4357,67.5224,68.1626,53732994
AAPL,17/4/2014,68.2926,69.3117,68.1875,68.9414,71106721
AAPL,21/4/2014,68.9939,69.8869,68.8127,69.7596,45668931
AAPL,22/4/2014,69.3839,69.8457,69.1464,69.829,50664453
AAPL,23/4/2014,69.4824,69.7543,68.877,68.9164,98735259
AAPL,24/4/2014,74.6241,74.8592,73.6417,74.5663,189978082
AAPL,25/4/2014,74.1408,75.1205,74.0659,75.114,97568814
AAPL,28/4/2014,75.2269,78.241,75.1941,78.023,167371680
AAPL,29/4/2014,77.977,78.2712,77.4215,77.7918,84344673
AAPL,30/4/2014,77.8325,78.7243,77.4595,77.4976,114220883
AAPL,1/5/2014,77.7485,78.1162,77.0078,77.6802,61052418
AAPL,2/5/2014,77.7931,78.0374,77.4477,77.8246,47878572
AAPL,5/5/2014,77.5042,78.9305,77.4858,78.9252,71766758
AAPL,6/5/2014,79.0355,79.3783,78.065,78.065,93641373
AAPL,7/5/2014,78.1753,78.4432,77.1877,77.7918,70715988
AAPL,8/5/2014,77.3173,78.1269,77.0741,77.2831,57574363
